fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Oct,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,1156740,291.091448586428,45,215,429.26413538,1402,0,4935,1193032,93032,4343,11631,495,248.06901,4150.14727627964,26257,36138,31394,49736,1150,35908,55141,6337,3472.81413089964,868672,60,4.55,90.56,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,3488673,252.590550484092,40,1825,3272.841929061,6863,0,19596,3651804,1380668,70871,77615,3177,452.26173,12949.2154852611,89680,117350,121897,194759,1973,163885,252364,26459,9224.11182620009,2023234,54,46.77,37.03,99.99,NA
2024-2025,Oct,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,10341076,259.747293151807,56,3949,24419.061306638,10299,2,61422,11149394,224704,9875,10243393,403947,839.88245,54219.192874468,198604,352290,225914,442030,24566,242922,466454,71721,28960.24911783,5830623,80,60.96,16.87,99.98,NA
2024-2025,Oct,02,ANDHRA PRADESH,0216,KONASEEMA,4920338,291.396827990667,39,2643,3139.128513501,4163,0,22802,4699053,2277621,117152,42294,2310,477.87757,17309.8974711013,119179,166799,151998,250797,3971,228782,352605,26965,13692.8913876003,2931111,40,87.31,3.14,100,NA
2024-2025,Oct,02,ANDHRA PRADESH,0218,NTR,6299684,258.298720022701,45,2336,2124.72590112,10108,2,21059,6518375,2503638,122017,518980,23304,361.54136,19323.1464523997,143130,238214,173896,318726,6181,208573,373713,31167,16836.8791912797,3814498,36,68.04,19.97,99.97,NA
2024-2025,Oct,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,5068450,257.172641870397,45,3253,6066.970276002,10513,0,32549,7025197,1062944,64747,466073,25240,685.12301,24818.9780075019,154791,265446,218357,412693,7008,274620,507104,43062,18066.8847214999,3805806,62,37.79,55.78,99.93,NA
2025-2026,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,965069,274.458154931745,48,205,756.117175726,483,0,7330,1218898,92074,4360,8486,485,214.98848,4316.47061702594,25097,34135,31946,51093,407,36984,57146,7813,3345.36496129994,901379,59,6.53,93.81,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0211,Y.S.R,4221759,272.373057855782,45,1935,4547.2517414,2761,3,60777,6052895,1130140,78716,74149,5412,1076.56762,22110.2745616997,133784,210170,189229,355165,4175,247138,455526,63538,16486.4552002997,3907838,48,40.57,93.74,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0221,NANDYAL,3717640,261.040393551002,32,1635,4033.462645775,3796,1,59954,4959281,1345658,113636,224493,14143,544.04759,17523.2368754751,150609,248871,215141,416427,725,275825,517724,63750,12945.7266397001,2976094,42,71.95,91.14,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5653581,261.546517040075,47,3612,4608.81353749301,12561,0,63313,8148796,940318,45627,3183008,140049,489.31192,26411.0175761939,170206,281236,195309,378435,6176,217288,410553,75874,21312.8921187009,4851578,79,43.73,90.97,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10603998,213.442838752051,38,6305,6434.987228068,4437,1,66591,10550305,1165894,73245,260099,17809,977.08838,29930.9460970676,276774,395884,345911,633992,829,388860,694452,71028,22518.8704889996,7492756,50,9.01,86.47,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0219,BAPATLA,3670138,274.807169885426,30,1988,3214.740321476,5007,1,53769,5038796,1636465,140283,186912,15521,398.47946,17460.192465376,163250,278029,216144,402425,932,276037,488513,58776,13846.9726839,2721119,24,75.89,89.89,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0220,PALNADU,3038323,276.092093894367,30,2030,5445.567355232,2386,4,57243,5807633,1188428,123532,533176,45313,439.16172,21919.1446306323,192853,324878,275382,495789,2124,353810,611084,59629,16034.4155554003,3098121,30,72.01,81.71,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0221,NANDYAL,3561172,261.053830058091,32,1633,3976.823701275,3710,1,59853,4950421,1343574,113636,224110,14125,544.04759,17444.134915775,150509,248703,215103,416382,697,275793,517668,63563,12923.2636245,2971236,42,72.06,91.46,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0209,NELLORE,4247183,241.605317519181,36,1604,5141.30311209,10504,4,69328,6359663,1662448,139036,265648,30042,798.97546,21305.5625563899,173290,249620,274919,481138,1909,360570,610339,79832,15365.2839842999,4037119,42,45.22,82.1,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7432233,289.713339942168,43,4061,5368.600194241,1258,1,123028,8388456,157859,9929,7712981,421479,635.60059,30306.6768314202,193212,335487,234406,460424,9920,258268,495484,124286,24302.4760471792,4403294,84,64.46,77.65,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0219,BAPATLA,3670138,274.821079376771,30,1988,3215.930757076,5047,1,53580,5040001,1636764,140282,186965,15522,401.94407,17468.859975876,163277,278069,216149,402427,937,276079,488571,58627,13850.9851488,2721868,24,75.85,89.83,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5641510,261.497499786098,47,3611,4607.24708749301,12561,0,63193,8145827,939797,45627,3182111,140048,488.63212,26397.0131493939,170186,281187,195304,378426,6167,217285,410545,75754,21301.1339419009,4849889,79,43.71,90.98,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,10690379,236.619323264906,42,5933,10065.674819337,6603,0,87900,13522012,1159367,59984,794785,40159,1291.13386,43352.5019655364,314721,443140,381309,673307,2747,444114,756865,94503,31995.6932861994,9714056,59,22.92,88.38,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10674331,213.469048628259,38,6306,6506.557862668,4482,1,66644,10552752,1166092,73244,260284,17810,980.35707,30013.7742311676,276802,395947,345912,633979,835,388862,694437,71126,22526.8592984996,7494297,50,9.02,86.06,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,6486102,280.775252206142,39,2934,5105.195810667,1907,0,74095,6327899,1021518,95540,247933,17980,1070.48286,23942.8530472669,160409,271896,259486,488941,2309,325092,603486,76002,17767.1743765999,3524436,55,47.32,85.67,100.01,NA
2025-2026,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,4721665,282.367795740299,40,1789,5949.931622702,13555,9,48278,5301780,2054362,150679,388964,32353,527.44364,21447.894583702,132366,188978,218804,391266,4567,275147,476327,61833,14970.519321,3513876,52,26.88,94.59,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5653581,261.55410621533,47,3612,4610.49391589301,12561,0,63349,8150218,940570,45627,3183482,140049,493.70828,26421.4320403939,170225,281275,195312,378440,6189,217290,410556,75910,21317.2298445009,4852391,79,43.74,90.96,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10674331,213.469048628259,38,6306,6509.543985168,4493,1,66635,10552752,1166092,73244,260284,17810,980.35707,30016.7603536676,276802,395947,345912,633979,835,388862,694437,71128,22526.8592984996,7494297,50,9.03,86.04,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,2517015,275.731017983218,37,1590,3495.727200007,5271,0,28034,2933123,1086504,72366,61515,3338,393.69267,11976.9497766069,78374,100783,126398,201660,462,170357,262559,33305,8087.52990659991,1644691,47,43.4,82.06,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,6645493,251.903641102173,34,3763,7729.85533709,1189,2,73729,9963365,2159600,200710,283025,22435,1147.43476,33975.3693083896,286767,493639,379636,731457,1061,457503,848279,74918,25098.0792112996,5644197,44,28.69,84.46,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0212,ANANTAPUR,6486102,280.775267189155,39,2934,5105.617830667,1907,0,74096,6328045,1021588,95540,247933,17980,1070.61872,23943.8218072669,160432,271921,259486,488939,2309,325095,603491,76003,17767.5852565999,3524500,55,47.32,85.67,100.01,NA
2025-2026,Sep,02,ANDHRA PRADESH,0213,KURNOOL,3831802,268.992673820996,29,2063,3815.823237494,3411,4,64043,4886363,896658,109117,96907,7897,865.41056,17825.1922837938,167595,284888,267529,527179,775,346665,662702,67454,13143.9584862998,2680958,47,72.17,90.17,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0215,ANAKAPALLI,5974973,283.062392347625,43,3217,5355.388005515,3038,2,61405,8455782,639753,35060,278572,16941,548.65812,29839.1849464148,192464,271164,239117,393700,2799,292576,462246,64443,23935.1388208998,5864110,60,20.98,90.53,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.470199915381,38,3056,4867.124985118,5676,4,54967,9000358,2937389,205744,1000821,54305,468.9238,30489.367280818,231325,369948,320981,599071,3187,384651,695653,60643,25153.3184957,5265003,45,39.05,91.78,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,4721665,282.367795740299,40,1789,5949.931622702,13614,9,48219,5301780,2054362,150674,388964,32353,527.58924,21448.040183702,132366,188978,218799,391259,4567,275148,476334,61833,14970.519321,3513876,52,26.89,94.58,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,2465483,283.312841985495,32,1178,1894.407398424,2723,0,37166,2967253,841442,64719,23705,1907,368.50265,10669.5188516239,91425,129097,137748,238105,977,187854,309890,39889,8406.60880319986,1698679,38,83.06,85.55,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0215,ANAKAPALLI,5974973,283.046396324595,43,3217,5240.405355515,3038,2,61350,8451971,639460,35069,278332,16941,535.84415,29699.2488394148,192421,271101,239111,393810,2759,292723,462579,64388,23922.9993338998,5861403,60,20.95,90.54,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0201,SRIKAKULAM,10591499,236.584298051882,42,5932,10045.401499337,6538,0,87709,13514204,1158992,59995,793267,40161,1269.77077,43287.6569400364,314644,442969,381294,673387,2729,444135,757016,94247,31972.4846706994,9709316,58,22.96,89.08,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0212,ANANTAPUR,6032366,280.735122521452,39,2930,4996.436766267,1903,0,74217,6305508,1017475,95543,247569,17981,1054.35831,23752.5706856669,160179,271468,259425,488880,2264,325202,603796,76120,17701.7756093999,3512978,55,47.11,85.78,100.01,NA
2025-2026,Aug,02,ANDHRA PRADESH,0213,KURNOOL,3679257,268.90692932105,29,2062,3784.685453294,3411,4,63855,4870545,894970,109110,96558,7902,849.59976,17731.5182139939,167444,284607,267492,527097,738,346628,662642,67266,13097.2330006999,2672831,46,72.41,90.62,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0220,PALNADU,3038323,276.106718918047,30,2030,5466.428856932,2386,4,57262,5807694,1188434,123532,533180,45313,439.64922,21941.5114251323,192853,324878,275381,495786,2124,353813,611086,59648,16035.4333482003,3098158,30,72.01,81.72,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0223,ANNAMAYYA,3902130,272.751333850138,38,1165,3742.506485939,6942,0,60053,4625887,862262,67675,175774,12742,546.40183,16906.0768108391,119018,175194,202479,349358,1093,253024,425165,66995,12617.1684949001,2706589,63,63.88,86.44,100,NA
2025-2026,Aug,02,ANDHRA PRADESH,0226,KAKINADA,3565313,281.663929674412,30,2783,5657.004079545,3256,0,38422,4252449,1202721,92691,80349,8651,395.59891,18030.2179503452,139414,191138,206196,351035,321,294053,478950,41678,11977.6149608002,2161094,46,51.72,81.15,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10674331,213.513043789989,38,6309,6598.611400938,4972,1,65796,10560906,1166832,73234,260664,17809,998.4204,30145.9436533376,276886,396126,345907,633909,840,388864,694389,70768,22548.9118523996,7498879,50,9.1,85.57,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0210,CHITTOOR,3820187,272.95305017113,35,1004,6433.640684459,7785,0,79024,3393944,907421,110634,109362,13619,866.29308,16563.8074335591,95437,140926,211020,390503,1185,276570,495960,86809,9263.87366910006,2108048,71,60.29,76.9,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0211,Y.S.R,4221759,272.472646287627,45,1939,4731.0309379,2832,3,60927,6075394,1133509,78709,74584,5412,1103.74388,22388.5616220997,133989,210549,189288,355225,4263,247172,455553,63759,16553.7868041997,3921355,49,40.83,93.59,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0218,NTR,2599391,293.734276417638,28,1763,4772.459726061,5015,2,33938,3563803,1268996,124483,278215,24242,319.23316,15559.8038410611,123838,199583,178793,331851,472,217844,394444,38953,10468.1109550001,2159062,37,72.09,87.13,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,2517015,275.579378878118,37,1592,3526.714803507,5287,0,27935,2940695,1087895,72324,61729,3336,398.21841,12028.8822292069,78463,100916,126411,201602,467,170165,262197,33222,8103.94901569988,1648055,47,43.14,81.35,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,6645493,251.905114609202,34,3763,7947.88671569,1225,2,74010,9976031,2161458,200619,283477,22427,1169.25869,34247.2777296895,286818,493775,379587,731061,1082,457367,847669,75235,25130.1323239995,5650695,45,28.74,83.71,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0220,PALNADU,3202376,275.536668962402,30,2030,7398.851496215,2394,4,56999,5822399,1189844,123500,536412,45315,455.95493,23897.6506845152,192957,325060,275375,495783,2142,353896,611252,59393,16042.8442583002,3105669,30,71.37,80.81,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,965069,274.647833938296,48,205,782.737105726,483,0,7403,1225436,92578,4361,8486,484,226.54613,4374.91666602609,25143,34176,31968,51114,467,36986,57135,7886,3365.63343030009,906388,60,6.73,93.66,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0218,NTR,2599391,293.578190978439,28,1765,4778.073426061,5083,2,33771,3569869,1270642,124496,278578,24242,337.20843,15595.6386865611,123899,199700,178811,331908,512,217872,394522,38854,10480.3568305001,2162363,38,72.07,87.07,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0221,NANDYAL,3717640,260.970364289282,33,1641,4159.269794475,4465,1,59656,4993257,1352495,113661,227051,14145,579.77789,17769.9686672751,151025,249663,215243,416634,971,275966,518028,64121,13030.9209828001,2994385,42,71.66,90.16,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5653581,261.485296264617,47,3613,4617.34617259301,12561,0,63682,8170517,942117,45624,3194687,140011,494.23578,26476.2825363939,170314,281519,195302,378376,6284,217230,410419,76243,21364.7005838009,4862669,79,43.55,90.22,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0226,KAKINADA,3706904,281.579542968299,30,2789,10044.33753745,4205,0,37860,4278806,1205946,92527,81254,8637,402.64704,22495.2269567501,139867,191812,206264,350598,357,293552,477328,42065,12048.2423793002,2171742,46,51.69,79.72,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10674331,213.498984420839,38,6308,6598.279790938,4914,1,65804,10559236,1166623,73237,260620,17810,998.4204,30140.5618135376,276868,396090,345912,633919,840,388870,694400,70718,22543.8616225996,7497995,50,9.09,85.6,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,965069,274.60956763373,48,205,782.737105726,483,0,7357,1222297,92358,4358,8486,484,226.54613,4365.82774262606,25097,34109,31958,51101,434,36976,57125,7840,3356.54450690006,904082,60,6.67,93.7,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,2517015,275.706979874609,37,1592,3537.442439832,5278,0,28081,2937931,1087243,72345,61708,3338,398.33041,12035.8536807319,78429,100873,126399,201625,465,170258,262370,33359,8100.08083089989,1646739,47,43.24,81.61,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0211,Y.S.R,4221759,272.423693439987,45,1939,4731.0309379,2818,3,60890,6070831,1132940,78711,74547,5412,1103.74388,22373.1568505997,133943,210474,189271,355196,4255,247170,455555,63708,16538.3820326997,3918857,49,40.79,93.59,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0213,KURNOOL,3831802,269.417190895788,29,2067,4009.310470599,3725,4,63909,4919878,902046,109129,97633,7905,876.61035,18140.9179236989,167926,285530,267626,527367,856,346701,662775,67634,13254.9971030999,2697984,47,71.18,88.54,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7562104,289.769882610206,44,4108,5408.917974041,1333,1,131509,8688763,159618,9929,8008286,422014,664.08677,31250.42308942,194662,338832,234691,460970,11713,258379,495726,132842,25177.418345379,4549511,85,63.58,76.08,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,4721665,281.190188951446,41,1799,6105.642944602,15525,9,46573,5469024,2116674,150695,397433,32362,530.51583,22014.5176940019,133267,190461,218881,391405,5572,275192,476423,62098,15378.3589193999,3634430,52,27.09,94.56,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0201,SRIKAKULAM,10690379,236.650371762007,42,5935,10142.586989614,6763,0,88376,13535299,1160196,59982,796934,40157,1303.24045,43477.1628422132,314837,443376,381340,673339,2785,444107,756838,95139,32031.3354025992,9721713,59,22.76,87.01,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,2517015,275.752784231826,37,1592,3537.442439832,5274,0,28083,2937259,1087102,72345,61708,3338,398.33041,12035.3463224319,78422,100863,126398,201626,464,170261,262381,33357,8099.5734725999,1646456,47,43.24,81.61,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,2465483,283.34081964094,32,1178,1904.512247924,2746,0,37227,2969837,842012,64723,23745,1909,388.99148,10708.2642257239,91473,129157,137767,238149,979,187948,310069,39973,8414.76049779989,1700182,38,83,85.46,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0207,GUNTUR,1403584,254.229894724926,30,480,1970.197890525,1162,17,29556,1731274,706508,70907,49094,5697,381.91733,6753.53128812501,56659,89941,91130,159713,228,138322,232056,30718,4401.41606760001,1002847,36,85.14,86.37,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0211,Y.S.R,4221759,272.43294298539,45,1939,4730.7749879,2817,3,60875,6067305,1132302,78712,74539,5412,1103.74388,22363.8564392997,133908,210418,189257,355173,4244,247153,455521,63692,16529.3375713997,3916727,49,40.76,93.61,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.488932695821,38,3057,4887.773354018,5732,4,55022,9010318,2939951,205751,1000843,54305,475.02094,30545.6359047175,231470,370170,321015,599100,3225,384686,695702,60754,25182.8416106995,5270120,45,39.1,91.77,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,965069,274.624300103397,48,207,786.251245726,483,0,7403,1226424,92694,4361,8486,484,238.37899,4392.68856202609,25163,34202,31972,51119,468,36987,57136,7886,3368.05832630009,907107,60,6.76,93.62,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,6645493,251.857255685788,34,3764,7972.72608569,1309,2,74139,9985635,2162513,200574,283764,22435,1308.89883,34431.1711894895,286880,493876,379595,730914,1089,457326,847405,75448,25149.5462737995,5655731,45,28.78,83.43,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0210,CHITTOOR,3820187,271.344999639302,36,1011,6448.980782459,8131,0,78996,3465502,925504,110500,111422,13586,988.5549,16841.002071859,96253,142290,210829,389913,1330,275999,494771,87127,9403.46638940002,2151175,71,60.39,77.05,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.057392435871,38,3058,4898.320334018,5819,4,55128,9028568,2944057,205753,1003505,54283,533.15532,30626.3620891174,231643,370475,321034,599102,3265,384826,695933,60947,25194.8864350994,5280094,45,39.21,91.38,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5653581,261.497790389519,47,3613,4620.53181259301,12561,0,63723,8171757,942170,45624,3195391,140010,550.26573,26539.7615335939,170318,281532,195304,378379,6290,217235,410426,76284,21368.9639910009,4863264,79,43.57,90.21,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0210,CHITTOOR,3820187,272.892911860814,34,998,6326.271932533,7581,0,78936,3292599,883554,110633,106532,13619,849.63946,16161.180679533,94390,139258,210897,390357,987,276517,495957,86517,8985.26928700004,2047759,71,60.12,76.75,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0216,KONASEEMA,2593441,297.974611312459,38,2380,2891.626927837,4846,0,34321,4478636,2181740,118217,38881,2388,376.83179,16613.6569309369,115219,159285,154469,256813,1655,237664,367917,39167,13345.1982130998,2882174,34,85.99,89.51,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.465783988443,38,3056,4867.618335118,5676,4,54977,9001389,2937739,205744,1001089,54304,471.92464,30495.3453138174,231336,369964,320979,599063,3202,384668,695681,60653,25155.8023386994,5265581,45,39.06,91.78,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0219,BAPATLA,3770044,274.820699840417,30,1988,3234.981615576,5324,1,53201,5044993,1637630,140303,187146,15529,420.67691,17520.343595076,163340,278173,216177,402480,942,276128,488625,58525,13864.6850695,2724742,24,75.76,89.6,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0220,PALNADU,3202376,276.12022609787,30,2030,6236.313439632,2389,4,57322,5812483,1188880,123517,534123,45313,452.46328,22738.2179211322,192880,324922,275370,495767,2131,353846,611150,59711,16049.4412015002,3100669,30,71.3,80.88,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0221,NANDYAL,3717640,261.158379606011,32,1635,4082.989103075,4018,1,59760,4960991,1345907,113634,224516,14143,565.08091,17604.1137210751,150632,248924,215142,416436,747,275826,517731,63778,12956.0437080001,2976960,42,71.83,90.92,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,6645493,251.861452695953,34,3763,7609.24201269,1189,2,73646,9956316,2159109,200842,282980,22455,1132.56422,33817.9283452896,286715,493550,379652,731894,1056,457691,849103,74835,25076.1221125996,5640588,44,28.57,84.73,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0209,NELLORE,4695622,241.590446322716,36,1604,5141.30311209,10504,4,69381,6360689,1662796,139037,265808,30047,799.05956,21307.1796163899,173320,249672,274929,481152,1909,360575,610348,79885,15366.8169442999,4037751,42,45.21,82.07,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7562104,289.713339942168,43,4061,5368.600194241,1287,1,123210,8388456,157859,9929,7712981,421495,636.85111,30307.9273514202,193212,335487,234415,460440,9920,258271,495488,124497,24302.4760471792,4403294,84,64.46,77.64,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.46388750581,38,3053,4861.747675118,5664,4,54908,8990011,2934613,205734,999791,54300,449.86949,30435.451392918,231189,369668,320946,598993,3159,384621,695590,60572,25123.8342278,5259597,45,39.01,91.8,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,4721665,282.222346544545,39,1781,5942.171334302,12514,9,49166,5214233,2020496,150661,384785,32350,513.44872,21171.350781202,131784,187977,218748,391156,4199,275134,476281,61680,14715.7307269,3452554,52,26.77,94.66,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,2465483,283.365124517259,32,1178,1904.512247924,2746,0,37219,2969267,841823,64721,23745,1909,387.94128,10706.3206597239,91469,129153,137766,238144,979,187939,310050,39965,8413.86713179989,1699780,38,83.02,85.49,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0206,KRISHNA,2826509,281.469910990421,38,1976,4522.07455704,10961,0,49574,5341560,1962096,122338,77091,5822,722.97238,20279.9311145399,138531,236510,182592,336817,3457,223316,395315,60535,15034.8841774999,2872865,21,80.92,86.54,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0220,PALNADU,3202376,276.13326013804,30,2030,7396.196135115,2389,4,57021,5817177,1189302,123509,535397,45312,455.64168,23914.9983132152,192923,325005,275368,495765,2133,353845,611160,59410,16063.1604981002,3103048,30,71.54,81.1,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0207,GUNTUR,1403584,254.161296709468,30,480,1970.197890525,1162,17,29545,1730966,706340,70910,49094,5697,378.94495,6748.588471725,56653,89934,91126,159710,227,138309,232040,30707,4399.4456312,1002705,36,85.23,86.5,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0208,PRAKASAM,6645493,251.901584202732,34,3763,7876.57169149,1199,2,73545,9967853,2160193,200654,283074,22426,1172.14278,34157.8940894896,286787,493688,379623,731202,1067,457433,847875,74744,25109.1796179996,5646549,44,28.72,84.2,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0209,NELLORE,4695622,240.456991341092,37,1633,5223.14315509,10828,3,69271,6506364,1700067,139112,275036,30062,815.43618,21683.5864551899,175392,252934,275264,481435,2017,360395,609727,80099,15645.0071200999,4131234,42,45.42,81.82,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7562104,289.555574397883,44,4103,5408.917974041,1318,1,128459,8599793,159244,9929,7920827,421787,662.67319,30972.77118222,194237,337898,234577,460737,11171,258336,495621,129777,24901.180018179,4506495,85,64.51,77.34,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0217,ELURU,6179816,279.503685080463,38,3056,4887.660814018,5725,4,54985,9004821,2938635,205753,1000544,54304,473.68514,30530.1524839174,231402,370054,320992,599061,3215,384637,695613,60710,25168.8065298994,5267273,45,39.08,91.77,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0220,PALNADU,3202376,276.122746224619,30,2030,7323.800333215,2389,4,57014,5816691,1189258,123510,535095,45312,455.55309,23840.5603518152,192929,325008,275376,495769,2133,353839,611141,59403,16061.2069286002,3102837,30,71.61,81.2,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0224,TIRUPATI,4721665,282.143825455337,40,1795,6104.639124602,14699,9,47331,5407487,2091274,150688,393986,32361,530.4066,21891.936407402,132881,189849,218850,391346,5091,275175,476380,62030,15256.8906828,3589120,52,27.05,94.54,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0204,EAST GODAVARI,2517015,275.762142123065,37,1591,3533.197522832,5271,0,28047,2934696,1086737,72356,61601,3338,394.38267,12020.3607472319,78402,100830,126402,201653,462,170282,262444,33318,8092.7805543999,1645306,47,43.24,81.71,100,NA
2025-2026,Sep,02,ANDHRA PRADESH,0205,WEST GODAVARI,2465483,283.357094213211,32,1178,1904.245877924,2723,0,37218,2969127,841775,64722,23745,1909,378.49119,10695.9690586239,91467,129150,137765,238139,978,187904,309992,39941,8413.23199069989,1699700,38,83.03,85.49,100,NA
