fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,02,ANDHRA PRADESH,0224,TIRUPATI,5649280,266.384746958572,39,2084,2375.669644868,8164,6,27861,5617835,2267515,152026,444204,32021,558.54438,17899.2695741681,142783,207523,220299,391756,5340,270620,466772,36025,14965.0555493001,3665256,41,23.42,72.26,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0226,KAKINADA,4739603,248.055519890861,33,3028,1766.154714948,6009,3,23796,4723626,1397612,93356,119095,8506,383.68082,13867.0505669479,142077,198359,203676,345051,539,284413,462856,29805,11717.2150319999,2397170,50,51.08,40.17,99.97,NA
2024-2025,Aug,02,ANDHRA PRADESH,0208,PRAKASAM,10885709,208.187312763103,39,3934,4361.413162534,3348,4,40681,10730070,2540107,200505,333712,21780,1113.51626,27813.5738131339,272193,462263,380654,723738,2443,444523,817561,44029,22338.6443905999,6099173,32,9.64,87.13,99.97,NA
2024-2025,Aug,02,ANDHRA PRADESH,0210,CHITTOOR,3778872,251.876206080807,35,1512,3421.514283149,5856,0,40695,3595609,1183583,107923,140631,12758,765.51761,13243.5154278491,101972,151493,200488,369259,1135,260187,465654,46551,9056.48353470005,2265493,61,63.65,29.99,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0211,Y.S.R,6216498,259.335810339316,43,2140,4883.654430484,2550,5,39609,6049182,1263592,79217,84677,5387,921.22909,21492.5786790841,137822,217325,190184,353274,2382,239432,438874,42159,15687.6951586,3864555,43,32.94,64.07,99.99,NA
2024-2025,Aug,02,ANDHRA PRADESH,0219,BAPATLA,5468600,266.165723149384,33,2026,1696.014740438,4482,3,34492,5322531,1891314,137861,205334,14627,394.64815,16257.4160164382,159233,270976,207937,384936,1150,260493,458726,38974,14166.7531260002,2888777,24,74.54,20.71,100,NA
2024-2025,Aug,02,ANDHRA PRADESH,0220,PALNADU,5680907,249.908117880743,31,2075,2028.999747446,2069,4,32315,5607294,1460176,120766,500913,40946,377.08938,16419.1720268858,177976,298560,256614,460323,929,325864,560256,34384,14013.0828994398,3008579,24,75.73,21.05,99.97,NA
2024-2025,Dec,02,ANDHRA PRADESH,0202,VIZIANAGARAM,14131962,230.782476889968,46,7306,6016.093055717,10779,1,36837,14108156,1589689,74642,405325,18066,1541.68684,40116.9317560177,303945,453877,351545,642697,7952,387357,692737,47616,32559.1518603007,9607983,48,6.16,86.77,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0207,GUNTUR,2603780,252.410918904479,34,629,1805.689719766,3174,12,16508,2219839,967417,71707,69885,5631,554.17875,7962.984487866,64415,102575,90513,157957,606,134480,224990,19682,5603.1160181,1300704,48,88.52,2.81,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0208,PRAKASAM,11892374,208.629077862007,41,4081,8009.470706069,6738,3,41092,11686971,2784898,201311,367216,21933,1753.67608,34145.5666133692,283812,483835,382312,727344,4442,446665,822476,47830,24382.4198273002,6662168,34,11.25,76.5,99.96,NA
